               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.029806,             0.10872,           0.0046245,             0.65984,             0.78241,             0.72117,             0.49232,            0.028972,             0.12854,           0.0082319,           0.0089308,           0.0089308,           0.0089308
                  56,            0.030257,              0.1104,           0.0044233,             0.73733,             0.69476,             0.72322,             0.49637,            0.027753,              0.1247,           0.0080804,            0.008911,            0.008911,            0.008911
                  57,            0.030144,             0.10914,           0.0046832,             0.67562,             0.72691,              0.7247,             0.46329,            0.030038,             0.12995,           0.0084921,           0.0088912,           0.0088912,           0.0088912
                  58,            0.032615,             0.10533,           0.0045533,              0.6992,             0.76148,             0.73298,             0.48443,            0.028957,             0.12974,           0.0082116,           0.0088714,           0.0088714,           0.0088714
                  59,            0.030976,             0.11488,           0.0045171,             0.69779,             0.73871,             0.73926,              0.5114,            0.028392,             0.13044,           0.0076509,           0.0088516,           0.0088516,           0.0088516
                  60,            0.031384,             0.10591,           0.0042992,             0.73289,             0.69234,             0.73432,             0.49547,            0.030142,             0.12862,           0.0087408,           0.0088318,           0.0088318,           0.0088318
                  61,            0.030245,             0.10589,            0.004133,             0.66717,             0.75794,             0.72382,             0.48913,            0.029468,             0.12728,           0.0085613,            0.008812,            0.008812,            0.008812
                  62,            0.030452,             0.10724,           0.0043777,             0.71638,             0.75403,             0.73667,             0.50793,            0.028095,             0.12664,           0.0081193,           0.0087922,           0.0087922,           0.0087922
                  63,            0.028257,             0.10565,           0.0041699,             0.68112,             0.76277,             0.74415,               0.503,            0.028813,             0.13389,            0.007792,           0.0087724,           0.0087724,           0.0087724
                  64,            0.029963,             0.10281,            0.003955,             0.72955,             0.73829,             0.75903,              0.5275,            0.027127,             0.12521,           0.0074355,           0.0087526,           0.0087526,           0.0087526
                  65,            0.030791,             0.10538,           0.0040645,             0.77311,             0.70697,             0.75752,             0.53795,            0.026797,             0.13014,           0.0071997,           0.0087328,           0.0087328,           0.0087328
                  66,            0.028045,             0.10736,           0.0039207,             0.75256,             0.77827,             0.79001,             0.56063,             0.02643,              0.1241,           0.0069437,            0.008713,            0.008713,            0.008713
                  67,            0.028181,              0.1005,           0.0036344,              0.7561,             0.75424,             0.76243,             0.52632,            0.026296,             0.12574,           0.0072234,           0.0086932,           0.0086932,           0.0086932
                  68,            0.029902,             0.10417,           0.0041314,             0.76487,             0.69816,             0.74004,             0.49855,            0.028789,             0.13018,           0.0074771,           0.0086734,           0.0086734,           0.0086734
                  69,            0.028661,              0.1074,           0.0037038,             0.77734,              0.7365,             0.76661,             0.53343,            0.026449,             0.12482,           0.0069647,           0.0086536,           0.0086536,           0.0086536
                  70,            0.030691,            0.098305,           0.0038071,             0.71662,             0.77877,             0.75957,             0.51733,            0.028938,             0.12717,           0.0074038,           0.0086338,           0.0086338,           0.0086338
                  71,            0.027752,               0.103,           0.0038149,             0.71308,             0.78485,               0.767,             0.53333,            0.026798,             0.12686,           0.0074011,            0.008614,            0.008614,            0.008614
                  72,            0.028922,             0.10711,           0.0036545,             0.69317,             0.79197,             0.77782,             0.55187,            0.026628,             0.12119,           0.0071544,           0.0085942,           0.0085942,           0.0085942
                  73,            0.028935,              0.1076,           0.0036373,             0.72413,             0.77538,             0.78064,             0.53831,            0.028551,             0.12524,           0.0070864,           0.0085744,           0.0085744,           0.0085744
                  74,            0.029043,             0.10875,           0.0034891,             0.76036,             0.72254,             0.76548,             0.53458,            0.026463,              0.1267,           0.0077166,           0.0085546,           0.0085546,           0.0085546
                  75,             0.02905,            0.097544,           0.0034268,             0.77888,             0.75203,             0.78283,             0.55349,            0.027225,             0.12714,           0.0072363,           0.0085348,           0.0085348,           0.0085348
                  76,            0.030157,             0.10105,           0.0035177,             0.75001,             0.76654,             0.78543,             0.55375,            0.027412,             0.12659,            0.007676,            0.008515,            0.008515,            0.008515
                  77,            0.029022,             0.10595,           0.0033381,             0.80354,              0.7258,             0.80438,             0.56259,            0.027021,             0.12751,           0.0074698,           0.0084952,           0.0084952,           0.0084952
                  78,            0.029932,             0.10883,           0.0034206,             0.73767,              0.8261,              0.7986,             0.56183,            0.027772,             0.12983,           0.0069521,           0.0084754,           0.0084754,           0.0084754
                  79,             0.02821,            0.099802,           0.0034811,             0.83196,             0.70849,             0.77318,             0.53863,            0.026326,             0.12815,           0.0073599,           0.0084556,           0.0084556,           0.0084556
                  80,            0.029871,             0.10403,           0.0032752,              0.7484,             0.79329,             0.78351,             0.54289,            0.025991,             0.12713,           0.0078073,           0.0084358,           0.0084358,           0.0084358
                  81,             0.02659,             0.10446,            0.003393,             0.78108,             0.74723,             0.78454,              0.5448,            0.028754,              0.1299,           0.0074863,            0.008416,            0.008416,            0.008416
                  82,            0.030216,              0.1062,           0.0032131,             0.77677,             0.75024,             0.78096,             0.54558,            0.026592,             0.12633,           0.0076615,           0.0083962,           0.0083962,           0.0083962
                  83,            0.026593,             0.10378,           0.0031446,             0.77509,             0.78457,             0.76916,             0.54069,            0.026182,              0.1248,           0.0072381,           0.0083764,           0.0083764,           0.0083764
                  84,            0.028425,             0.10355,           0.0029408,              0.7702,             0.78554,             0.79336,             0.56304,            0.024486,             0.12245,           0.0069319,           0.0083566,           0.0083566,           0.0083566
                  85,            0.027714,             0.10627,           0.0031938,             0.77135,             0.78331,             0.78054,             0.54883,            0.025241,             0.12285,           0.0069949,           0.0083368,           0.0083368,           0.0083368
                  86,            0.029125,             0.10313,           0.0032496,             0.76357,              0.7889,              0.7805,             0.55312,            0.026496,             0.12989,           0.0072692,            0.008317,            0.008317,            0.008317
                  87,            0.027404,            0.098451,           0.0030637,             0.75372,             0.77644,             0.78142,             0.53263,            0.027042,             0.13134,           0.0070709,           0.0082972,           0.0082972,           0.0082972
                  88,            0.028367,             0.10431,           0.0030568,             0.80709,             0.74636,             0.79047,             0.55631,            0.026929,             0.13166,           0.0072074,           0.0082774,           0.0082774,           0.0082774
                  89,            0.028164,              0.1014,           0.0029162,             0.75346,              0.7515,             0.79599,             0.56521,            0.026876,              0.1291,           0.0075626,           0.0082576,           0.0082576,           0.0082576
                  90,            0.028675,             0.10595,            0.003239,             0.80433,             0.75536,             0.79324,             0.57245,            0.025378,             0.12615,            0.007642,           0.0082378,           0.0082378,           0.0082378
                  91,            0.026037,            0.098474,           0.0028084,             0.82767,             0.73717,             0.78433,             0.56467,            0.025926,             0.12856,           0.0073954,            0.008218,            0.008218,            0.008218
                  92,            0.026516,            0.098772,            0.002664,             0.79494,              0.7779,              0.7849,             0.56165,            0.025532,             0.12407,           0.0070569,           0.0081982,           0.0081982,           0.0081982
                  93,             0.02669,            0.097872,           0.0028587,             0.80667,              0.8004,             0.79578,             0.55512,            0.026943,             0.12886,           0.0073223,           0.0081784,           0.0081784,           0.0081784
                  94,            0.028683,              0.1059,           0.0029218,             0.80471,             0.79777,             0.78431,             0.55418,            0.025701,             0.12402,           0.0071591,           0.0081586,           0.0081586,           0.0081586
                  95,             0.02806,             0.10492,           0.0026573,             0.77315,             0.78819,             0.78455,             0.54283,            0.027942,             0.13099,           0.0073791,           0.0081388,           0.0081388,           0.0081388
                  96,            0.028597,             0.10236,           0.0027547,             0.78536,             0.70635,             0.75998,             0.53994,            0.027202,              0.1321,           0.0079792,            0.008119,            0.008119,            0.008119
                  97,            0.026844,            0.098893,           0.0027292,              0.7742,             0.78712,             0.79032,             0.55667,            0.026108,             0.12603,           0.0075218,           0.0080992,           0.0080992,           0.0080992
                  98,            0.028031,              0.1037,             0.00278,             0.77304,             0.82208,             0.81341,             0.57591,            0.025637,             0.12529,           0.0073293,           0.0080794,           0.0080794,           0.0080794
                  99,            0.026354,            0.094847,           0.0026857,              0.8116,             0.76659,             0.81216,             0.57717,            0.025391,             0.12263,           0.0070935,           0.0080596,           0.0080596,           0.0080596
                 100,            0.027555,             0.10007,           0.0025666,             0.80503,             0.76005,             0.80132,             0.55625,            0.026154,              0.1274,            0.007402,           0.0080398,           0.0080398,           0.0080398
                 101,            0.026985,             0.10187,           0.0027055,             0.84768,             0.73698,             0.81099,             0.58862,            0.025356,             0.12341,           0.0073277,             0.00802,             0.00802,             0.00802
                 102,            0.026134,            0.096004,           0.0026338,              0.8094,             0.75138,              0.7831,             0.55085,            0.026724,             0.13135,           0.0075578,           0.0080002,           0.0080002,           0.0080002
                 103,            0.025265,             0.09661,           0.0024778,             0.81861,             0.75685,             0.79639,             0.55998,            0.026289,              0.1298,           0.0075388,           0.0079804,           0.0079804,           0.0079804
                 104,            0.027508,            0.098375,           0.0025489,             0.78546,             0.78998,             0.79294,             0.57311,            0.025609,             0.12915,           0.0074153,           0.0079606,           0.0079606,           0.0079606
                 105,             0.02546,             0.10109,           0.0025685,             0.80839,             0.76314,             0.78688,             0.56667,            0.024688,             0.12502,           0.0074637,           0.0079408,           0.0079408,           0.0079408
                 106,            0.025907,            0.098405,           0.0024417,             0.75984,               0.783,             0.78292,             0.55652,            0.026571,             0.13222,           0.0076953,            0.007921,            0.007921,            0.007921
                 107,            0.026032,            0.098292,           0.0024284,             0.79373,             0.76151,              0.7915,             0.56478,            0.025987,             0.12943,           0.0074675,           0.0079012,           0.0079012,           0.0079012
                 108,            0.026909,            0.098042,           0.0025193,             0.77984,             0.74791,             0.79831,             0.57046,            0.025922,             0.12784,           0.0075176,           0.0078814,           0.0078814,           0.0078814
                 109,            0.026701,            0.098154,           0.0025224,             0.76186,             0.81028,              0.7927,             0.56917,            0.025645,             0.12641,           0.0071254,           0.0078616,           0.0078616,           0.0078616
                 110,            0.027807,            0.093724,           0.0024962,             0.79658,             0.77007,             0.77976,             0.55996,             0.02617,             0.12834,           0.0077092,           0.0078418,           0.0078418,           0.0078418
                 111,            0.026028,            0.098763,           0.0025328,             0.75871,             0.78867,             0.76618,             0.55012,            0.025474,             0.12637,           0.0081731,            0.007822,            0.007822,            0.007822
                 112,            0.026289,            0.095258,           0.0024291,             0.79954,             0.78569,             0.77888,             0.55359,            0.025503,             0.12704,           0.0070461,           0.0078022,           0.0078022,           0.0078022
                 113,            0.025932,            0.095091,           0.0024261,             0.80278,             0.76124,             0.79404,             0.56821,            0.025412,             0.12663,           0.0067455,           0.0077824,           0.0077824,           0.0077824
                 114,            0.027515,            0.097873,           0.0024168,             0.80921,             0.77953,             0.79828,             0.57125,            0.025394,              0.1254,           0.0068811,           0.0077626,           0.0077626,           0.0077626
                 115,            0.026623,            0.093263,           0.0023936,             0.79923,             0.77052,             0.79278,              0.5693,            0.025154,              0.1266,           0.0076987,           0.0077428,           0.0077428,           0.0077428
                 116,            0.026512,             0.10117,           0.0023786,             0.75459,             0.79019,             0.78346,             0.55522,            0.025604,             0.12881,           0.0075502,            0.007723,            0.007723,            0.007723
                 117,            0.025519,             0.10098,           0.0023447,             0.78756,              0.7629,             0.77581,             0.54943,            0.025214,             0.12946,           0.0080802,           0.0077032,           0.0077032,           0.0077032
                 118,            0.026024,             0.09912,           0.0022691,             0.79861,             0.77255,             0.77841,             0.54605,            0.025918,             0.12979,            0.007565,           0.0076834,           0.0076834,           0.0076834
                 119,            0.025938,            0.098162,           0.0022525,             0.79584,             0.76777,             0.76283,             0.54178,            0.025871,             0.13006,            0.008156,           0.0076636,           0.0076636,           0.0076636
                 120,            0.026137,            0.099053,           0.0022299,             0.83089,             0.72284,             0.76999,             0.56729,            0.024503,             0.12286,           0.0082871,           0.0076438,           0.0076438,           0.0076438
                 121,            0.025696,            0.092898,           0.0022831,             0.80745,             0.74857,             0.78063,             0.56064,            0.024336,             0.12536,           0.0075437,            0.007624,            0.007624,            0.007624
                 122,            0.026234,             0.10225,           0.0022623,             0.77331,             0.82658,             0.79859,             0.57723,             0.02517,             0.12727,           0.0072927,           0.0076042,           0.0076042,           0.0076042
                 123,            0.025081,            0.094941,           0.0022506,             0.80446,             0.78335,             0.79139,              0.5659,            0.025133,             0.12721,            0.007587,           0.0075844,           0.0075844,           0.0075844
                 124,            0.025006,            0.098075,           0.0021499,             0.78629,              0.7584,             0.76824,             0.55327,            0.025872,             0.12582,           0.0078927,           0.0075646,           0.0075646,           0.0075646
                 125,            0.025049,            0.095057,           0.0021152,             0.79164,             0.77657,             0.78282,              0.5569,             0.02575,             0.12962,           0.0082737,           0.0075448,           0.0075448,           0.0075448
                 126,            0.024368,            0.095196,           0.0022835,             0.78683,             0.78027,             0.77111,             0.55419,            0.025088,             0.12876,           0.0074385,            0.007525,            0.007525,            0.007525
                 127,            0.024437,            0.090505,           0.0020574,             0.79721,             0.78011,              0.8075,             0.59147,            0.024633,             0.12687,           0.0072846,           0.0075052,           0.0075052,           0.0075052
                 128,            0.025875,            0.099737,           0.0022159,             0.79564,             0.80448,             0.79608,             0.57377,            0.025587,             0.12736,           0.0079085,           0.0074854,           0.0074854,           0.0074854
                 129,            0.025318,            0.094014,           0.0021171,              0.7954,             0.78698,             0.79609,             0.57568,            0.024422,              0.1242,           0.0074942,           0.0074656,           0.0074656,           0.0074656
                 130,            0.026385,            0.094974,           0.0020661,             0.76734,             0.81828,              0.8025,             0.58149,            0.024945,             0.12325,           0.0074587,           0.0074458,           0.0074458,           0.0074458
                 131,            0.025576,            0.099814,           0.0021549,             0.82997,             0.79021,             0.81919,             0.58476,            0.024916,             0.12663,           0.0070757,            0.007426,            0.007426,            0.007426
                 132,             0.02509,            0.091727,            0.002145,             0.77389,             0.79321,             0.81279,             0.59436,            0.024609,             0.12472,           0.0071489,           0.0074062,           0.0074062,           0.0074062
                 133,            0.023896,            0.092648,            0.002031,             0.80468,             0.72996,             0.80269,              0.5793,            0.024986,              0.1252,           0.0073427,           0.0073864,           0.0073864,           0.0073864
                 134,             0.02575,            0.092436,           0.0020875,             0.77384,             0.73262,             0.78605,             0.56608,            0.025618,             0.12812,           0.0081408,           0.0073666,           0.0073666,           0.0073666
                 135,            0.025481,            0.097195,           0.0021404,             0.80167,             0.72212,             0.78605,             0.58519,            0.024435,              0.1255,            0.008036,           0.0073468,           0.0073468,           0.0073468
                 136,            0.024975,            0.092976,           0.0021308,             0.82413,             0.72078,             0.77775,             0.56317,            0.025326,             0.13074,            0.008179,            0.007327,            0.007327,            0.007327
                 137,            0.023835,            0.093419,           0.0019351,             0.82543,             0.73693,             0.77528,             0.56065,            0.025673,              0.1281,           0.0076265,           0.0073072,           0.0073072,           0.0073072
                 138,            0.024942,            0.094966,           0.0019597,             0.77324,             0.73061,             0.77169,             0.54956,            0.024778,             0.13032,           0.0077912,           0.0072874,           0.0072874,           0.0072874
                 139,            0.024747,            0.094284,           0.0019757,             0.82773,             0.75584,             0.80898,             0.56799,            0.025559,             0.12822,           0.0073799,           0.0072676,           0.0072676,           0.0072676
                 140,            0.025696,            0.095887,           0.0020574,             0.79412,              0.7894,             0.81292,             0.57565,            0.025121,             0.12858,           0.0080376,           0.0072478,           0.0072478,           0.0072478
                 141,             0.02406,             0.09724,           0.0020411,             0.76471,              0.7701,             0.78484,             0.56189,            0.024653,             0.12973,           0.0080353,            0.007228,            0.007228,            0.007228
                 142,            0.025279,            0.093554,           0.0019646,             0.81817,             0.70592,             0.78601,             0.56394,            0.024612,             0.12654,           0.0076808,           0.0072082,           0.0072082,           0.0072082
                 143,            0.023903,            0.093155,           0.0020294,             0.80339,             0.74022,              0.7852,             0.57343,             0.02389,             0.12384,           0.0078526,           0.0071884,           0.0071884,           0.0071884
                 144,            0.025163,            0.095579,           0.0020365,             0.78818,             0.75265,             0.78375,             0.55792,            0.024896,             0.12755,           0.0079586,           0.0071686,           0.0071686,           0.0071686
