               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   4,            0.033641,            0.076885,           0.0016125,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007031,            0.007031,            0.007031
                   5,            0.030377,            0.082465,           0.0014568,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0060446,           0.0060446,           0.0060446
                   6,            0.027453,             0.07148,           0.0014205,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050583,           0.0050583,           0.0050583
                   7,            0.026213,            0.076549,           0.0012393,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0040719,           0.0040719,           0.0040719
                   8,            0.024693,            0.068006,           0.0011664,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030856,           0.0030856,           0.0030856
                   9,            0.023958,            0.073202,           0.0010973,             0.84541,             0.73641,             0.82571,              0.5939,            0.031459,             0.11439,           0.0033098,           0.0020993,           0.0020993,           0.0020993
                   0,            0.079822,             0.13759,           0.0019131,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051587,           0.0051587,            0.051494
                   1,            0.044209,             0.10424,           0.0013847,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092173,           0.0092173,           0.0092173
                   2,            0.041987,            0.099837,           0.0021415,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092173,           0.0092173,           0.0092173
                   3,            0.040736,            0.099446,           0.0019619,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082047,           0.0082047,           0.0082047
                   4,            0.035342,            0.088496,           0.0017388,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007192,            0.007192,            0.007192
                   5,            0.034469,            0.093225,           0.0016917,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0061794,           0.0061794,           0.0061794
                   6,            0.030441,            0.081915,           0.0015862,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051667,           0.0051667,           0.0051667
                   7,             0.02857,            0.084064,           0.0014128,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041541,           0.0041541,           0.0041541
                   8,            0.028031,             0.08187,           0.0013459,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031414,           0.0031414,           0.0031414
